"","Ctb assessment bank","CTB","0","1",""
"2","Grade 2","2","CTB","2",""
"2","Reading","2R","2","3","CTB Reading"
"2","Vocabulary","2R.1","2R","4","CTB Reading"
"2","Word meaning","2R.1.1","2R.1","5","CTB Reading"
"2","Synonyms-antonyms","2R.1.1.2","2R.1.1","6","CTB Reading"
"2","Context clues","2R.1.1.3","2R.1.1","6","CTB Reading"
"2","Word analysis","2R.1.2","2R.1","5","CTB Reading"
"2","Consonants","2R.1.2.1","2R.1.2","6","CTB Reading"
"2","Vowels","2R.1.2.2","2R.1.2","6","CTB Reading"
"2","Prefixes","2R.1.2.3","2R.1.2","6","CTB Reading"
"2","Syllabication","2R.1.2.4","2R.1.2","6","CTB Reading"
"2","Compounds-contractions","2R.1.2.7","2R.1.2","6","CTB Reading"
"2","Root words","2R.1.2.8","2R.1.2","6","CTB Reading"
"2","Basic understanding","2R.2","2R","4","CTB Reading"
"2","Text elements","2R.2.1","2R.2","5","CTB Reading"
"2","Plot","2R.2.1.1","2R.2.1","6","CTB Reading"
"2","Setting","2R.2.1.2","2R.2.1","6","CTB Reading"
"2","Character","2R.2.1.3","2R.2.1","6","CTB Reading"
"2","Sequence of events-information","2R.2.1.4","2R.2.1","6","CTB Reading"
"2","Stated information","2R.2.2","2R.2","5","CTB Reading"
"2","Facts-details","2R.2.2.1","2R.2.2","6","CTB Reading"
"2","Main idea","2R.2.2.2","2R.2.2","6","CTB Reading"
"2","Following directions","2R.2.3","2R.2","5","CTB Reading"
"2","Summary or retelling","2R.2.4","2R.2","5","CTB Reading"
"2","Analyze text","2R.3","2R","4","CTB Reading"
"2","Text relationships","2R.3.1","2R.3","5","CTB Reading"
"2","Compare-contrast","2R.3.1.2","2R.3.1","6","CTB Reading"
"2","Inferences and conclusions","2R.3.2","2R.3","5","CTB Reading"
"2","Evaluate and extend meaning","2R.4","2R","4","CTB Reading"
"2","Connections beyond or between texts","2R.4.1","2R.4","5","CTB Reading"
"2","Predict-confirm","2R.4.1.1","2R.4.1","6","CTB Reading"
"2","Similarities-differences","2R.4.1.2","2R.4.1","6","CTB Reading"
"2","Text organization and reading strategies","2R.5","2R","4","CTB Reading"
"2","Structure of text","2R.5.1","2R.5","5","CTB Reading"
"2","Graphic features","2R.5.1.1","2R.5.1","6","CTB Reading"
"2","Organizing strategies","2R.5.2","2R.5","5","CTB Reading"
"2","Graphic organizers-webs","2R.5.2.1","2R.5.2","6","CTB Reading"
"2","Research skills","2R.6","2R","4","CTB Reading"
