"","Colorado Standards","CO","0","1","CO"
"2","Grade 2","2","CO","2","CO"
"2","Reading","QSLL085G","2","3","CO Reading"
"2","St. 1 Read,understand variety materials","A4JWWYE6","QSLL085G","4","CO Reading"
"2","1.1 Use comprehension strategies","UXA9ZS7Q","A4JWWYE6","5","CO Reading"
"2","1.2 Summarize text passages","0AQ42F19","A4JWWYE6","5","CO Reading"
"2","1.3 Find main idea,support details","70DHB1XI","A4JWWYE6","5","CO Reading"
"2","1.4 Make inferences","FBV81C8N","A4JWWYE6","5","CO Reading"
"2","1.5 Identify sequence","07X0FFP2","A4JWWYE6","5","CO Reading"
"2","1.6 Organize text","1L7Y8GYQ","A4JWWYE6","5","CO Reading"
"2","1.7 Use word recognition skills","UPCA3DAP","A4JWWYE6","5","CO Reading"
"2","Writing","O9KPYUE6","2","3","CO Writing"
"2","St. 2 Write for variety purposes,audiences","739V9Y36","O9KPYUE6","4","CO Writing"
"2","2.1 Write in variety of modes-narratives,letters","85ZXI4P2","739V9Y36","5","CO Writing"
"2","2.2 Organize writing","B8XENOPN","739V9Y36","5","CO Writing"
"2","2.3 Use appropriate word choice","SVUHPCPG","739V9Y36","5","CO Writing"
"2","2.4 Create a legible document","B5CJHWMY","739V9Y36","5","CO Writing"
"2","St. 3 Write using conventional grammar,usage...","ACFAPNXW","O9KPYUE6","4","CO Writing"
"2","3.1 Use correct grammar","4VQU73Q1","ACFAPNXW","5","CO Writing"
"2","3.2 Write complete sentences","1OIMCJQB","ACFAPNXW","5","CO Writing"
"2","3.3 Use appropriate capitalization","NHA1ORJ5","ACFAPNXW","5","CO Writing"
"2","3.4 Use correct end punctuation","JODHM6EA","ACFAPNXW","5","CO Writing"
"2","3.5 Use correct age appropriate spelling","CRXPHV77","ACFAPNXW","5","CO Writing"
"2","Mathematics","2M","2","3","CO Mathematics"
"2","St.1 Number Sense","IBASAN2T","2M","4","CO Mathematics"
"2","1.1 Demonstrate Meanings","JKOD8193","IBASAN2T","5","CO Mathematics"
"2","1.1.1 Represent Whole Numbers","VSVOH25S","JKOD8193","6","CO Mathematics"
"2","1.1.2 Apply Equalities, Inequalities","QV5XGLCN","JKOD8193","6","CO Mathematics"
"2","1.1.3 Meanings of Fractions","IBCA1RTX","JKOD8193","6","CO Mathematics"
"2","1.1.4 Equivalencies of Coins","FNX4ASPC","JKOD8193","6","CO Mathematics"
"2","1.1.5 Combine Coins","G3W9RASD","JKOD8193","6","CO Mathematics"
"2","1.3 Use Numbers","R8N6APVH","IBASAN2T","5","CO Mathematics"
"2","1.3.1 Count by 1s, 2s, 5s, 10s","PGUWRKBC","R8N6APVH","6","CO Mathematics"
"2","1.3.2 Count by 100s","HHNK2DE2","R8N6APVH","6","CO Mathematics"
"2","1.3.3 Count forward to 1000","VJCIM1CF","R8N6APVH","6","CO Mathematics"
"2","1.3.4 Ordinal Positions","XBB9AY0M","R8N6APVH","6","CO Mathematics"
"2","1.3.5 Sequence Selected Whole Numbers","PFA1H40G","R8N6APVH","6","CO Mathematics"
"2","1.3.6 Halfway Point on Number Line","HUZRU4A0","R8N6APVH","6","CO Mathematics"
"2","1.3.7 Locate Point in First Quadrant","THI2F3LR","R8N6APVH","6","CO Mathematics"
"2","1.4 Explain Conjectures about Whole Numbers","VHALL4BZ","IBASAN2T","5","CO Mathematics"
"2","1.4.1 Commutative, Associative Properties","CWNNOIR2","VHALL4BZ","6","CO Mathematics"
"2","1.4.2 Subtraction not Commutative","BTNGTXFH","VHALL4BZ","6","CO Mathematics"
"2","1.5 Reasonableness of Solutions","BCRNPGAM","IBASAN2T","5","CO Mathematics"
"2","1.5.1 Estimate Sums and Differences","CCI6STUC","BCRNPGAM","6","CO Mathematics"
"2","St. 2 Use Algebraic Methods","707IU53W","2M","4","CO Mathematics"
"2","2.1 Patterns and Sequences","2CS9A9NI","707IU53W","5","CO Mathematics"
"2","2.1.1 Verbally Describe Patterns","ORADDTQZ","2CS9A9NI","6","CO Mathematics"
"2","2.1.2 Use Symbols to Create, Extend Patterns","3DBOYAV0","2CS9A9NI","6","CO Mathematics"
"2","2.1.3 Find Missing Elements of Patterns","LMDIJZFF","2CS9A9NI","6","CO Mathematics"
"2","2.2 Use Tables, Graphs, Open Sentences","YY5TSS4W","707IU53W","5","CO Mathematics"
"2","2.2.1 Match Tables and Graphs","LCL5BBC8","YY5TSS4W","6","CO Mathematics"
"2","2.3 Recognize Pattern, Solve Problems","70IY9VA2","707IU53W","5","CO Mathematics"
"2","Relationship Between Graph and Table","AAHSC1NB","70IY9VA2","6","CO Mathematics"
"2","2.4 Effects of Change in Quantities","HEL8AFBV","707IU53W","5","CO Mathematics"
"2","2.4.1 Effects of Change in Variables","SXB662C3","HEL8AFBV","6","CO Mathematics"
"2","St. 3 Data Collection, Statistics, Probability","C492VBES","2M","4","CO Mathematics"
"2","3.1 Interpret Displays of Data","HCRCSSOR","C492VBES","5","CO Mathematics"
"2","3.1.1 Design Survey, Collect Data","O5Z6MTGK","HCRCSSOR","6","CO Mathematics"
"2","3.1.2 Display Data","2ZWAZP9O","HCRCSSOR","6","CO Mathematics"
"2","3.1.3 Transfer Data to Different Displays","2X0S27BB","HCRCSSOR","6","CO Mathematics"
"2","3.2 Concepts of Largest, Smallest, Most Often, Mid","YDYCY3A9","C492VBES","5","CO Mathematics"
"2","3.2.1 Least Often, Most Often, How Much More-Less","WY4ZMSZB","YDYCY3A9","6","CO Mathematics"
"2","3.3 Predictions Based on Surveys, Chance Devices","0BCTWQC8","C492VBES","5","CO Mathematics"
"2","3.3.1 Make Predictions","KCAIHZBE","0BCTWQC8","6","CO Mathematics"
"2","3.3.2 Generate, Record Results From Number Cube","676ZCSBO","0BCTWQC8","6","CO Mathematics"
"2","3.3.3 Analyze Results of Spinner","3AWIBAGH","0BCTWQC8","6","CO Mathematics"
"2","3.3.4 Recognize Fair, Unfair Spinners","TBCCQW7I","0BCTWQC8","6","CO Mathematics"
"2","3.4 Strategies for Making Combinations","GL5PKIXJ","C492VBES","5","CO Mathematics"
"2","3.4.1 Determine Outcome of Spinning a Spinner","NEZ96I81","GL5PKIXJ","6","CO Mathematics"
"2","3.4.2 Determine Combinations of Two Element Sets","ZJNTUE8X","GL5PKIXJ","6","CO Mathematics"
"2","St. 4 Geometric, Concepts,Properties,Relationships","8MBI5SE1","2M","4","CO Mathematics"
"2","4.1 Relationships of Shapes","CYC6CPYB","8MBI5SE1","5","CO Mathematics"
"2","4.1.1 Congruent Figures","PVDKPLX2","CYC6CPYB","6","CO Mathematics"
"2","4.1.2 Create, Reproduce Simple Designs","XQR23BC1","CYC6CPYB","6","CO Mathematics"
"2","4.1.3 Describe Symmetry","7OEG8YH4","CYC6CPYB","6","CO Mathematics"
"2","4.1.4 Lines of Symmetry of Squares, Rectangles","5CSPXBZH","CYC6CPYB","6","CO Mathematics"
"2","4.2 Physical Models of Geometric Figures","C5C4PXIQ","8MBI5SE1","5","CO Mathematics"
"2","4.2.1 Describe Attributes of Shapes","0YGYCQ65","C5C4PXIQ","6","CO Mathematics"
"2","4.2.2 Identify Right and Not-Right Triangles","3XBT8XBN","C5C4PXIQ","6","CO Mathematics"
"2","4.2.3 Three-Dimensional Figures","6SVPA45Q","C5C4PXIQ","6","CO Mathematics"
"2","4.2.4 Draw Right and Not-Right Triangles","FWGRBOD2","C5C4PXIQ","6","CO Mathematics"
"2","4.3 Relate Geometry to Measurement, Number Sense","EOCTTBN7","8MBI5SE1","5","CO Mathematics"
"2","4.3.1 Measure Length","GAQVACY4","EOCTTBN7","6","CO Mathematics"
"2","4.3.2 Measure Perimeter","FSRBDCEW","EOCTTBN7","6","CO Mathematics"
"2","4.4 Solve Problems Using Geometric Relationships","QBZUO3JB","8MBI5SE1","5","CO Mathematics"
"2","4.4.1 Use Pictures and Diagrams to Solve Problems","PX88F1BG","QBZUO3JB","6","CO Mathematics"
