"","Texas","TX","0","1",""
"2","Grade 2","2","TX","2",""
"2","English Language Arts","2E","2","3","TX English Language Arts"
"2","Reading","2E.1","2E","4","TX English Language Arts"
"2","Variety of Word Identification Strategies","2E.1.1","2E.1","5","TX English Language Arts"
"2","Decode by Using All Letter-Sound Correspondences","2E.1.1.1","2E.1.1","6","TX English Language Arts"
"2","Blend Initial Letter-Sounds","2E.1.1.2","2E.1.1","6","TX English Language Arts"
"2","Recognize high Frequency Irregular Words","2E.1.1.3","2E.1.1","6","TX English Language Arts"
"2","Identify Multisyllabic Words","2E.1.1.4","2E.1.1","6","TX English Language Arts"
"2","Compound, Base Words, and Inflections","2E.1.1.5","2E.1.1","6","TX English Language Arts"
"2","Prefixes and Suffixes","2E.1.1.6","2E.1.1","6","TX English Language Arts"
"2","Use Knowledge of Word Order","2E.1.1.7","2E.1.1","6","TX English Language Arts"
"2","Read Both Regular and Irregular Words","2E.1.1.8","2E.1.1","6","TX English Language Arts"
"2","Read with Fluency and Understanding","2E.1.2","2E.1","5","TX English Language Arts"
"2","Read Regularly in Independent-Level Materials","2E.1.2.1","2E.1.2","6","TX English Language Arts"
"2","Read Regularly in Instructional-Level Material","2E.1.2.2","2E.1.2","6","TX English Language Arts"
"2","Read Orally from Familiar Texts","2E.1.2.3","2E.1.2","6","TX English Language Arts"
"2","Self-Select Independent-Level Texts","2E.1.2.4","2E.1.2","6","TX English Language Arts"
"2","Read Silently for Increasing Periods of Time","2E.1.2.5","2E.1.2","6","TX English Language Arts"
"2","Read Widely for Different Purposes","2E.1.3","2E.1","5","TX English Language Arts"
"2","Read Classic and Contemporary Works","2E.1.3.1","2E.1.3","6","TX English Language Arts"
"2","Read from a Variety of Genres","2E.1.3.2","2E.1.3","6","TX English Language Arts"
"2","Read to Accomplish Various Purposes","2E.1.3.3","2E.1.3","6","TX English Language Arts"
"2","Develops an Extensive Vocabulary","2E.1.4","2E.1","5","TX English Language Arts"
"2","Discuss Meaning of Words and Develop Vocabulary","2E.1.4.1","2E.1.4","6","TX English Language Arts"
"2","Develop Vocabulary by Listening and Discussing","2E.1.4.2","2E.1.4","6","TX English Language Arts"
"2","Develop Vocabulary Through Reading","2E.1.4.3","2E.1.4","6","TX English Language Arts"
"2","Use Resources and References","2E.1.4.4","2E.1.4","6","TX English Language Arts"
"2","Uses a Variety of Strategies","2E.1.5","2E.1","5","TX English Language Arts"
"2","Use Prior Knowledge","2E.1.5.1","2E.1.5","6","TX English Language Arts"
"2","Establish Purposes for Reading & Language","2E.1.5.2","2E.1.5","6","TX English Language Arts"
"2","Retell or Act Out Order Of Important Events","2E.1.5.3","2E.1.5","6","TX English Language Arts"
"2","Monitor His Her Own Comprehension","2E.1.5.4","2E.1.5","6","TX English Language Arts"
"2","Draw and Discuss Visual Images","2E.1.5.5","2E.1.5","6","TX English Language Arts"
"2","Make and Explain Inferences","2E.1.5.6","2E.1.5","6","TX English Language Arts"
"2","Identify Similarities and Differences","2E.1.5.7","2E.1.5","6","TX English Language Arts"
"2","Produce Summaries of Text Selections","2E.1.5.8","2E.1.5","6","TX English Language Arts"
"2","Represent Text Information","2E.1.5.9","2E.1.5","6","TX English Language Arts"
"2","Responds to Various Texts","2E.1.6","2E.1","5","TX English Language Arts"
"2","Respond to Stories and Poems","2E.1.6.1","2E.1.6","6","TX English Language Arts"
"2","Demonstrate Understanding of Informational Text","2E.1.6.2","2E.1.6","6","TX English Language Arts"
"2","Support Interpretations or Conclusions","2E.1.6.3","2E.1.6","6","TX English Language Arts"
"2","Connect Ideas and Themes Across Texts","2E.1.6.4","2E.1.6","6","TX English Language Arts"
"2","Analyzes the Characteristics of Texts","2E.1.7","2E.1","5","TX English Language Arts"
"2","Distinguish Different Forms of Text","2E.1.7.1","2E.1.7","6","TX English Language Arts"
"2","Identify Text as Written for Entertainment","2E.1.7.2","2E.1.7","6","TX English Language Arts"
"2","Distinguish Fiction from Nonfiction","2E.1.7.3","2E.1.7","6","TX English Language Arts"
"2","Distinguishing Features of Familiar Genres","2E.1.7.4","2E.1.7","6","TX English Language Arts"
"2","Compare Communication in Different Forms","2E.1.7.5","2E.1.7","6","TX English Language Arts"
"2","Understand and Identify Simple Literary Terms","2E.1.7.6","2E.1.7","6","TX English Language Arts"
"2","Understand Literary Forms","2E.1.7.7","2E.1.7","6","TX English Language Arts"
"2","Analyze Characters","2E.1.7.8","2E.1.7","6","TX English Language Arts"
"2","Importance of Setting to a Story's Meaning","2E.1.7.9","2E.1.7","6","TX English Language Arts"
"2","Recognize the Story Problems or Plot","2E.1.7.10","2E.1.7","6","TX English Language Arts"
"2","Generates Questions and Conducts Research","2E.1.8","2E.1","5","TX English Language Arts"
"2","Identify Relevant Questions","2E.1.8.1","2E.1.8","6","TX English Language Arts"
"2","Use Alphabetical Order","2E.1.8.2","2E.1.8","6","TX English Language Arts"
"2","Recognize and Use Parts of a Book","2E.1.8.3","2E.1.8","6","TX English Language Arts"
"2","Use Multiple Sources","2E.1.8.4","2E.1.8","6","TX English Language Arts"
"2","Interpret and Use Graphic Sources","2E.1.8.5","2E.1.8","6","TX English Language Arts"
"2","Important Areas of the Library Media Center","2E.1.8.6","2E.1.8","6","TX English Language Arts"
"2","Learning Through Productions and Displays","2E.1.8.7","2E.1.8","6","TX English Language Arts"
"2","Draw Conclusions from Information Gathered","2E.1.8.8","2E.1.8","6","TX English Language Arts"
"2","Reads to Increase Knowledge of His Her Own Culture","2E.1.9","2E.1","5","TX English Language Arts"
"2","Connect Life Experiences","2E.1.9.1","2E.1.9","6","TX English Language Arts"
