"","West Virginia CF Root","WV","0","1",""
"3","Grade 3","3","WV","2",""
"3","Number and Operations ","3.MA.S.1","3","3","WV Mathematics"
"3","Read, write, order, and compare numbers to 10,000","MA.3.1.1","3.MA.S.1","4","WV Mathematics"
"3","Read, write, order, and compare decimals to hundredths with models","MA.3.1.2","3.MA.S.1","4","WV Mathematics"
"3","Identify place value of each digit utilizing standard and expanded form to 10,000","MA.3.1.3","3.MA.S.1","4","WV Mathematics"
"3","Estimate to nearer 10,000 and 1,000 using rounding, benchmarks, and compatible numbers to determine reasonableness of an answer","MA.3.1.4","3.MA.S.1","4","WV Mathematics"
"3","Identify fractions as part of a whole/one and as part of a group using models and pictorial representations","MA.3.1.5","3.MA.S.1","4","WV Mathematics"
"3","Compare and order fractions with like and unlike denominators using concrete models","MA.3.1.6","3.MA.S.1","4","WV Mathematics"
"3","Add and subtract fractions with like denominators using concrete models and pictorial representations","MA.3.1.7","3.MA.S.1","4","WV Mathematics"
"3","Recognize and model equivalent fractions using concrete materials","MA.3.1.8","3.MA.S.1","4","WV Mathematics"
"3","Recognize and model proper and improper fractions and mixed numbers","MA.3.1.9","3.MA.S.1","4","WV Mathematics"
"3","Add and subtract 2- and 3-digit whole numbers and money without and with regrouping                                          ","MA.3.1.10","3.MA.S.1","4","WV Mathematics"
"3","Understand multiplication as repeated addition and division as repeated subtraction","MA.3.1.11","3.MA.S.1","4","WV Mathematics"
"3","Understand meanings of operations and the relationship between multiplication and division (eg, identity element of multiplication, commutative property, property of zero, fact families, associative property)","MA.3.1.12","3.MA.S.1","4","WV Mathematics"
"3","Memorize basic multiplication facts 0-5 and the corresponding division facts","MA.3.1.13","3.MA.S.1","4","WV Mathematics"
"3","Model multiplication of 2- and 3-digit numbers by a 1-digit number","MA.3.1.14","3.MA.S.1","4","WV Mathematics"
"3","Model division of 2- and 3-digit numbers by a 1-digit number","MA.3.1.15","3.MA.S.1","4","WV Mathematics"
"3","Solve grade level appropriate story problems using multiple strategies","MA.3.1.16","3.MA.S.1","4","WV Mathematics"
"3","Algebra","3.MA.S.2","3","3","WV Mathematics"
"3","Analyze and complete a geometric pattern","MA.3.2.1","3.MA.S.2","4","WV Mathematics"
"3","Use input/output model with grade appropriate functions","MA.3.2.2","3.MA.S.2","4","WV Mathematics"
"3","Identify and write number patterns of 3’s and 4’s","MA.3.2.3","3.MA.S.2","4","WV Mathematics"
"3","Identify and write the rule of a given pattern","MA.3.2.4","3.MA.S.2","4","WV Mathematics"
"3","Write equivalent numerical expressions","MA.3.2.5","3.MA.S.2","4","WV Mathematics"
"3","Represent the idea of a variable as an unknown quantity using a symbol","MA.3.2.6","3.MA.S.2","4","WV Mathematics"
"3","Geometry","3.MA.S.3","3","3","WV Mathematics"
"3","Identify basic polygons and their components through decagon","MA.3.3.1","3.MA.S.3","4","WV Mathematics"
"3","Identify and describe a cube, rectangular solid, cylinder, cone and pyramid according to the number of faces, edges and vertices","MA.3.3.2","3.MA.S.3","4","WV Mathematics"
"3","From a plane drawing, construct and identify the solid figure","MA.3.3.3","3.MA.S.3","4","WV Mathematics"
"3","Identify, determine and draw lines of symmetry","MA.3.3.4","3.MA.S.3","4","WV Mathematics"
"3","Model and describe lines and rays","MA.3.3.5","3.MA.S.3","4","WV Mathematics"
"3","Identify and draw right, obtuse and acute angles","MA.3.3.6","3.MA.S.3","4","WV Mathematics"
"3","Given a model, draw an example of a flip, slide and turn (reflection, translation, and rotation)","MA.3.3.7","3.MA.S.3","4","WV Mathematics"
"3","Name the location of a point on a one-quadrant grid","MA.3.3.8","3.MA.S.3","4","WV Mathematics"
"3","Measurement","3.MA.S.4","3","3","WV Mathematics"
"3","Estimate, measure, compare, order and draw lengths using inches (to the nearest ½ inch), feet, yards, centimeters and meters","MA.3.4.1","3.MA.S.4","4","WV Mathematics"
"3","Estimate and count the number of cubes in a rectangular solid to determine volume","MA.3.4.2","3.MA.S.4","4","WV Mathematics"
"3","Discover through modeling the formula for determining the area of a rectangle","MA.3.4.3","3.MA.S.4","4","WV Mathematics"
"3","Understand appropriate grade level conversions within a system of measure","MA.3.4.4","3.MA.S.4","4","WV Mathematics"
"3","Estimate and measure results of mass/weight in ounces, pounds, grams, and kilograms","MA.3.4.5","3.MA.S.4","4","WV Mathematics"
"3","Read time to 5-minute intervals using analog and digital clocks","MA.3.4.6","3.MA.S.4","4","WV Mathematics"
"3","Calculate elapsed time to quarter-hour","MA.3.4.7","3.MA.S.4","4","WV Mathematics"
"3","Read and write amounts of money to $10000","MA.3.4.8","3.MA.S.4","4","WV Mathematics"
