"REC","DIST","NAME","GISNAME","District","School","M","B","SUB_ALG1","SUB_ALG2","SUB_USHIS","SUB_BIO","SUB_GEO","SUB_ENG2","SUB_ENG3"
,,,,"01I004",705,,,13,0,2,9,4,12,4
,,,,"01I011",705,,,11,2,7,6,3,5,6
,,,,"01I030",705,,,10,25,5,9,2,6,9
,,,,"02I001",705,,,2,2,0,2,4,2,2
,,,,"02I046",705,,,4,1,0,3,0,2,1
,,,,"03I007",705,,,1,1,4,4,2,1,1
,,,,"03I015",705,,,14,3,4,6,8,7,7
,,,,"03I019",705,,,3,0,0,0,1,2,3
,,,,"03I026",705,,,6,12,3,4,3,4,1
,,,,"04I022",705,,,5,0,0,0,0,7,0
,,,,"04I123",705,,,3,3,6,1,3,1,1
,,,,"05I002",705,,,53,38,33,45,0,40,33
,,,,"05I006",705,,,16,1,21,42,15,12,8
,,,,"05I031",705,,,"SUB_ALG1",1,5,4,0,4,3
,,,,"05I051",715,,,1,0,0,0,0,2,0
,,,,"06I042",705,,,6,0,1,1,3,3,3
,,,,"06I080",715,,,6,3,11,7,5,9,4
,,,,"06I105",705,,,3,0,3,1,2,1,6
,,,,"07I002",705,,,2,2,6,12,2,8,2
,,,,"07I003",705,,,3,0,0,5,0,0,0
,,,,"07I004",715,,,20,0,2,0,0,2,0
,,,,"07I005",715,,,8,5,0,6,7,1,4
,,,,"07I040",705,,,0,0,1,0,0,0,1
,,,,"07I048",705,,,12,15,30,18,21,8,9
,,,,"07I072",500,,,50,0,0,0,0,0,0
,,,,"07I072",705,,,55,23,125,41,44,31,15
,,,,"08I011",715,,,6,0,4,4,1,1,0
,,,,"08I012",705,,,10,1,2,3,5,3,1
,,,,"08I020",705,,,42,0,14,36,0,52,19
,,,,"08I033",705,,,6,1,1,1,5,3,0
,,,,"08I056",705,,,23,2,8,7,6,6,6
,,,,"08I064",715,,,12,0,0,0,0,4,0
,,,,"08I086",705,,,1,0,0,0,0,1,2
,,,,"08I160",715,,,6,0,4,8,4,8,4
,,,,"08I161",705,,,5,9,4,8,4,6,5
,,,,"08I167",705,,,8,0,1,7,1,1,0
,,,,"08I168",705,,,4,17,8,5,4,1,4
,,,,"09I022",705,,,25,2,5,21,10,13,9
,,,,"09I027",705,,,49,6,35,62,0,33,32
,,,,"09I034",705,,,42,6,11,59,42,32,5
,,,,"09I057",705,,,7,3,0,3,0,3,3
,,,,"09I069",705,,,44,6,29,21,21,25,26
,,,,"10I019",505,,,51,0,0,0,0,0,0
,,,,"10I019",705,,,108,118,127,229,247,141,130
,,,,"10I032",705,,,5,1,4,11,3,2,2
,,,,"10I043",705,,,8,9,2,5,0,4,5
,,,,"10I074",705,,,10,0,0,1,0,2,0
,,,,"10I077",705,,,10,0,4,4,0,4,3
,,,,"11I016",715,,,27,11,8,24,7,11,4
,,,,"11I035",705,,,54,7,40,55,36,32,30
,,,,"12I001",715,,,3,0,1,5,0,1,6
,,,,"12I002",705,,,8,1,11,3,2,2,5
,,,,"12I004",705,,,9,0,0,7,6,3,0
,,,,"13I002",705,,,10,3,3,2,3,0,0
,,,,"14I002",705,,,62,12,30,35,36,33,16
,,,,"14I002",710,,,76,9,17,22,37,42,14
,,,,"14I002",715,,,129,18,24,24,110,52,26
,,,,"14I029",705,,,38,9,22,54,22,32,10
,,,,"14I029",710,,,48,5,53,92,34,30,29
,,,,"14I029",740,,,4,0,10,9,2,13,13
,,,,"14I040",705,,,27,4,6,18,16,32,8
,,,,"14I070",715,,,5,1,8,5,3,1,5
,,,,"15I001",705,,,7,4,16,17,13,14,6
,,,,"15I002",705,,,4,0,3,3,0,4,4
,,,,"16I001",705,,,17,1,9,16,7,8,3
,,,,"16I003",705,,,0,0,0,0,0,2,0
,,,,"16I008",705,,,35,7,19,64,59,33,28
,,,,"16I008",710,,,66,6,48,63,37,47,40
,,,,"16I008",715,,,31,8,20,37,17,24,12
,,,,"16I009",715,,,7,6,3,3,1,4,4
,,,,"16I132",705,,,24,27,38,27,27,27,28
,,,,"17I001",705,,,8,0,2,0,2,4,0
,,,,"17I101",715,,,1,0,3,0,0,0,0
,,,,"18I006",705,,,11,4,3,6,5,4,3
,,,,"18I017",715,,,2,0,2,0,0,6,0
,,,,"18I020",705,,,4,6,2,11,4,6,1
,,,,"19I003",705,,,5,29,46,17,32,13,28
,,,,"19I005",705,,,5,1,4,0,2,8,4
,,,,"19I017",715,,,17,5,3,3,1,5,1
,,,,"19I020",715,,,0,0,0,2,0,2,1
,,,,"19I031",705,,,19,7,12,11,2,7,8
,,,,"19I033",705,,,85,18,40,104,53,50,27
,,,,"19I039",705,,,17,4,0,2,8,10,6
,,,,"20I005",715,,,1,0,0,1,1,0,1
,,,,"20I007",715,,,2,0,0,0,3,0,0
,,,,"20I026",705,,,21,17,28,28,8,16,7
,,,,"20I099",705,,,12,39,18,29,11,51,20
,,,,"21I001",705,,,26,2,8,17,8,24,9
,,,,"21I002",705,,,11,2,10,20,10,67,15
,,,,"21I003",715,,,8,0,0,5,0,8,1
,,,,"21I004",715,,,44,0,10,26,12,9,5
,,,,"22I005",705,,,2,0,0,2,0,0,0
,,,,"22I010",705,,,1,0,1,0,0,0,0
,,,,"23I003",705,,,2,0,3,5,1,1,0
,,,,"23I042",705,,,1,0,0,2,0,3,3
,,,,"24I001",705,,,3,4,6,7,4,3,6
,,,,"24I018",705,,,6,0,3,9,0,2,0
,,,,"24I042",705,,,7,1,4,7,5,5,1
,,,,"24I047",715,,,3,0,0,1,1,1,0
,,,,"24I056",705,,,11,9,1,4,3,6,2
,,,,"24I085",705,,,2,0,2,4,1,4,2
,,,,"24I094",705,,,22,12,15,18,19,19,17
,,,,"25I002",715,,,3,1,3,2,1,1,3
,,,,"25I007",715,,,13,0,5,7,10,3,4
,,,,"25I009",705,,,2,0,1,2,0,2,1
,,,,"25I018",705,,,9,1,9,10,25,7,9
,,,,"25I038",705,,,10,0,9,10,2,6,3
,,,,"26I001",705,,,13,0,9,4,2,8,2
,,,,"26I002",715,,,4,0,0,1,0,1,0
,,,,"26I051",705,,,3,0,0,0,0,0,3
,,,,"26I056",715,,,4,0,1,9,4,4,0
,,,,"26I097",705,,,49,82,50,57,36,42,76
,,,,"26I099",705,,,2,6,6,4,0,4,2
,,,,"26I128",715,,,4,0,1,3,0,4,1
,,,,"27I054",705,,,3,3,4,4,0,1,2
,,,,"27I090",705,,,0,2,7,0,5,0,2
,,,,"27I095",705,,,4,2,1,6,2,2,1
,,,,"28I003",715,,,3,4,3,12,8,3,1
,,,,"29I066",705,,,9,9,3,5,3,8,3
,,,,"30I004",715,,,0,0,3,2,0,5,0
,,,,"31I013",705,,,4,0,0,1,0,1,0
,,,,"31I020",705,,,15,0,13,16,0,22,16
,,,,"31I037",705,,,8,1,6,11,1,5,2
,,,,"31I043",705,,,2,1,2,3,1,5,2
,,,,"32I001",705,,,8,7,10,4,2,6,4
,,,,"32I005",705,,,7,0,0,3,1,7,3
,,,,"32I035",705,,,10,27,20,30,2,20,9
,,,,"32I048",705,,,5,1,0,2,0,3,2
,,,,"32I054",705,,,2,0,2,3,0,0,1
,,,,"33I001",705,,,4,0,1,9,0,2,2
,,,,"33I014",705,,,22,13,12,0,12,12,12
,,,,"33I018",705,,,38,44,30,51,21,36,15
,,,,"33I025",705,,,0,0,0,1,2,1,1
,,,,"33I035",705,,,3,0,1,4,4,3,1
,,,,"33I054",705,,,1,2,0,0,2,4,2
,,,,"34I001",705,,,1,1,4,4,6,1,1
,,,,"35I002",705,,,3,0,0,4,2,1,0
,,,,"35I020",705,,,7,0,13,17,0,7,10
,,,,"35I029",705,,,5,0,3,5,0,3,2
,,,,"35I037",705,,,2,3,4,2,5,4,3
,,,,"36I045",505,,,30,0,0,0,0,0,0
,,,,"36I045",705,,,72,77,80,104,109,111,64
,,,,"36I071",705,,,107,32,67,81,99,70,42
,,,,"36I087",715,,,16,40,22,34,0,19,0
,,,,"37I002",705,,,16,5,10,24,23,21,13
,,,,"37I016",705,,,6,0,6,10,4,4,2
,,,,"37I089",705,,,38,32,39,39,39,31,27
,,,,"38I001",705,,,8,5,18,9,6,5,1
,,,,"38I002",705,,,0,0,1,1,0,0,0
,,,,"38I003",715,,,0,0,0,3,0,1,0
,,,,"38I004",705,,,52,21,32,28,23,32,30
,,,,"39I001",705,,,6,1,1,5,0,0,0
,,,,"39I002",705,,,2,4,3,7,5,0,0
,,,,"39I003",705,,,12,19,11,19,14,19,11
,,,,"39I004",705,,,10,18,17,16,18,17,17
,,,,"40I002",705,,,1,0,0,0,2,9,3
,,,,"40I003",705,,,19,0,3,17,15,10,2
,,,,"40I007",705,,,9,0,3,4,1,8,5
,,,,"40I016",705,,,14,11,11,0,12,11,11
,,,,"40I020",705,,,2,0,2,10,3,7,2
,,,,"40I026",715,,,3,0,0,1,0,2,0
,,,,"40I029",505,,,45,0,0,0,0,0,0
,,,,"40I029",705,,,44,0,8,27,19,21,15
,,,,"40I049",715,,,7,13,10,14,9,6,5
,,,,"40I052",610,,,5,0,0,0,0,0,0
,,,,"40I052",705,,,39,43,43,50,37,50,43
,,,,"40I067",705,,,12,0,7,21,0,15,5
,,,,"40I091",715,,,21,15,15,38,16,25,11
,,,,"41I001",705,,,8,1,4,14,4,6,3
,,,,"41I003",705,,,9,1,3,2,3,5,0
,,,,"41I004",505,,,15,0,0,0,0,0,0
,,,,"41I004",705,,,42,42,47,42,47,43,40
,,,,"41I054",705,,,3,0,6,1,0,9,4
,,,,"41I095",705,,,2,0,1,12,0,12,0
,,,,"41I103",705,,,2,0,21,8,3,9,9
,,,,"41I105",705,,,2,0,0,0,1,3,0
,,,,"41I134",705,,,17,0,30,13,25,12,12
,,,,"42I001",705,,,54,5,3,36,17,35,7
,,,,"42I014",705,,,3,0,2,2,1,1,0
,,,,"43I004",705,,,3,0,0,6,1,9,0
,,,,"43I005",705,,,6,0,2,3,3,5,2
,,,,"43I016",705,,,12,1,0,0,0,9,5
,,,,"44I001",705,,,23,36,54,0,17,22,31
,,,,"44I004",705,,,2,4,12,4,0,2,0
,,,,"44I092",705,,,0,0,8,6,0,1,0
,,,,"45I002",705,,,17,1,11,24,2,13,4
