"CORP","NAME","SCHL","NAME_1","GR3","GR4","GR5","GR6","GR7","GR8"
0015,"Adams Central Community Schools",0013,"Adams Central Middle School",0,0,0,86,98,78
0015,"Adams Central Community Schools",0020,"Adams Central Elementary Sch",84,78,101,0,0,0
0015,"Adams Central Community Schools",0021,"Adams Central High School",0,0,0,0,0,0
0025,"North Adams Community Schools",0029,"Bellmont Senior High School",0,0,0,0,0,0
0025,"North Adams Community Schools",0033,"Bellmont Middle School",0,0,118,110,118,113
0025,"North Adams Community Schools",0037,"Northwest Elementary",113,112,0,0,0,0
0025,"North Adams Community Schools",0041,"Southeast Elementary School",0,0,0,0,0,0
0035,"South Adams Schools",0017,"South Adams Middle School",0,0,0,111,90,112
0035,"South Adams Schools",0023,"South Adams High School",0,0,0,0,0,0
0035,"South Adams Schools",0025,"South Adams Elem School",102,99,110,0,0,0
0125,"M S D Southwest Allen County Schls",0045,"Aboite Elementary School",112,117,95,0,0,0
0125,"M S D Southwest Allen County Schls",0046,"Whispering Meadow Elem Sch",76,76,81,0,0,0
0125,"M S D Southwest Allen County Schls",0047,"Homestead Senior High School",0,0,0,0,0,0
0125,"M S D Southwest Allen County Schls",0063,"Summit Middle School",0,0,0,217,230,251
0125,"M S D Southwest Allen County Schls",0064,"Lafayette Meadow School",73,95,75,0,0,0
0125,"M S D Southwest Allen County Schls",0067,"Woodside Middle School",0,0,0,313,317,324
0125,"M S D Southwest Allen County Schls",0068,"Haverhill Elementary School",51,68,80,0,0,0
0125,"M S D Southwest Allen County Schls",0071,"Deer Ridge Elementary",58,76,65,0,0,0
0125,"M S D Southwest Allen County Schls",0072,"Covington Elementary School",130,143,143,0,0,0
0225,"Northwest Allen County Schools",0069,"Arcola School",31,27,42,0,0,0
0225,"Northwest Allen County Schools",0079,"Maple Creek Middle Sch",0,0,0,244,255,250
0225,"Northwest Allen County Schools",0087,"Hickory Center Elementary Sch",61,76,88,0,0,0
0225,"Northwest Allen County Schools",0089,"Huntertown Elementary School",82,91,107,0,0,0
0225,"Northwest Allen County Schools",0090,"Carroll Middle School",0,0,0,314,313,298
0225,"Northwest Allen County Schools",0091,"Carroll High School",0,0,0,0,0,0
0225,"Northwest Allen County Schools",0092,"Perry Hill Elementary School",98,73,88,0,0,0
0225,"Northwest Allen County Schools",0094,"Oak View Elementary Sch",50,87,75,0,0,0
0225,"Northwest Allen County Schools",0095,"Cedar Canyon Elementary Sch",84,74,85,0,0,0
0225,"Northwest Allen County Schools",0096,"Eel River Elementary School",86,79,86,0,0,0
0235,"Fort Wayne Community Schools",0100,"Allen Co Juvenile Center",0,0,0,0,0,0
0235,"Fort Wayne Community Schools",0101,"North Side High School",0,0,0,0,0,0
0235,"Fort Wayne Community Schools",0102,"R Nelson Snider High School",0,0,0,0,0,0
0235,"Fort Wayne Community Schools",0105,"South Side High School",0,0,0,0,0,0
0235,"Fort Wayne Community Schools",0107,"Blackhawk Middle School",0,0,0,299,292,280
0235,"Fort Wayne Community Schools",0118,"Jeff H Towles Intermediate School",74,67,69,72,73,49
0235,"Fort Wayne Community Schools",0119,"Jefferson Middle School",0,0,0,210,227,236
0235,"Fort Wayne Community Schools",0121,"Kekionga Middle School",0,0,0,169,159,154
0235,"Fort Wayne Community Schools",0125,"Lakeside Middle School",0,0,0,166,170,164
0235,"Fort Wayne Community Schools",0126,"Lane Middle School",0,0,0,180,187,170
0235,"Fort Wayne Community Schools",0127,"Memorial Park Middle School",0,0,0,229,219,200
0235,"Fort Wayne Community Schools",0128,"Miami Middle School",0,0,0,243,264,263
0235,"Fort Wayne Community Schools",0129,"Northwood Middle School",0,0,0,249,239,234
0235,"Fort Wayne Community Schools",0133,"Portage Middle School",0,0,0,164,170,152
0235,"Fort Wayne Community Schools",0134,"Weisser Park Elem Sch",111,108,108,0,0,0
0235,"Fort Wayne Community Schools",0136,"Fairfield Elementary School",100,79,87,0,0,0
0235,"Fort Wayne Community Schools",0137,"Merle J Abbett Elementary Sch",53,37,49,0,0,0
0235,"Fort Wayne Community Schools",0141,"Adams Elementary School",49,43,46,0,0,0
0235,"Fort Wayne Community Schools",0149,"Bloomingdale Elementary Sch",45,34,42,0,0,0
0235,"Fort Wayne Community Schools",0151,"Bunche Elementary School",0,0,0,0,0,0
0235,"Fort Wayne Community Schools",0153,"Brentwood Elementary School",85,79,69,0,0,0
0235,"Fort Wayne Community Schools",0154,"Fred H Croninger Elem Sch",102,97,101,0,0,0
0235,"Fort Wayne Community Schools",0157,"Forest Park Elementary School",89,92,97,0,0,0
0235,"Fort Wayne Community Schools",0161,"Franke Park Elementary School",98,84,89,0,0,0
