"REC","DIST","NAME","GISNAME","DISTNUM","SCHNUM","M","B","G3","G4","G5","G6","G7","G8",
5,"ADAMS CENTRAL COMMUNITY SCHOOLS","ADAMS CENTRAL MIDDLE SCHOOL","ADAMS C MS M",2010,2021,"A","P",3,4,5,6,7,8,
5,"ADAMS CENTRAL COMMUNITY SCHOOLS","ADAMS CENTRAL MIDDLE SCHOOL","ADAMS C MS M",15,13,"A","P",0,0,0,93,81,89,
5,"ADAMS CENTRAL COMMUNITY SCHOOLS","ADAMS CENTRAL ELEMENTARY SCH","ADAMS C ES M",15,20,"A","P",79,98,81,0,0,0,
5,"NORTH ADAMS COMMUNITY SCHOOLS","BELLMONT MIDDLE SCHOOL","BELLMONT MS",25,33,"A","P",0,0,121,141,145,138,
5,"NORTH ADAMS COMMUNITY SCHOOLS","NORTHWEST ELEMENTARY","NWEST ES DE",25,37,"A","P",109,119,0,0,0,0,
5,"SOUTH ADAMS SCHOOLS","SOUTH ADAMS MIDDLE SCHOOL","S ADAMS MS",35,17,"A","P",0,0,0,129,98,97,
5,"SOUTH ADAMS SCHOOLS","SOUTH ADAMS ELEM SCHOOL","S ADAMS ES",35,25,"A","P",110,93,113,0,0,0,
5,"M S D SOUTHWEST ALLEN COUNTY","ABOITE ELEMENTARY SCHOOL","ABOITE ES",125,45,"A","P",78,97,106,0,0,0,
5,"M S D SOUTHWEST ALLEN COUNTY","WHISPERING MEADOW ELEM SCH","WHISPERING ME",125,46,"A","P",77,68,63,0,0,0,
5,"M S D SOUTHWEST ALLEN COUNTY","SUMMIT MIDDLE SCHOOL","SUMMIT MS",125,63,"A","P",0,0,0,240,250,230,
5,"M S D SOUTHWEST ALLEN COUNTY","LAFAYETTE MEADOW SCHOOL","LAFAYETTE MEA",125,64,"A","P",90,85,83,0,0,0,
5,"M S D SOUTHWEST ALLEN COUNTY","WOODSIDE MIDDLE SCHOOL","WOODSIDE MS",125,67,"A","P",0,0,0,349,325,357,
5,"M S D SOUTHWEST ALLEN COUNTY","HAVERHILL ELEMENTARY SCHOOL","HAVERHILL ES",125,68,"A","P",73,62,81,0,0,0,
5,"M S D SOUTHWEST ALLEN COUNTY","DEER RIDGE ELEMENTARY","DEER RIDGE ES",125,71,"A","P",77,76,72,0,0,0,
5,"M S D SOUTHWEST ALLEN COUNTY","COVINGTON ELEMENTARY SCHOOL","COVINGTON ELE",125,72,"A","P",126,113,134,0,0,0,
5,"NORTHWEST ALLEN COUNTY SCHOOLS","ARCOLA SCHOOL","ARCOLA SCHOOL",225,69,"A","P",24,38,28,0,0,0,
5,"NORTHWEST ALLEN COUNTY SCHOOLS","MAPLE CREEK MIDDLE SCH","MAPLE CREEK M",225,79,"A","P",0,0,0,224,223,233,
5,"NORTHWEST ALLEN COUNTY SCHOOLS","HICKORY CENTER ELEMENTARY SCH","HICKORYCENTER",225,87,"A","P",79,87,79,0,0,0,
5,"NORTHWEST ALLEN COUNTY SCHOOLS","HUNTERTOWN ELEMENTARY SCHOOL","HUNTERTOWN ES",225,89,"A","P",108,104,86,0,0,0,
5,"NORTHWEST ALLEN COUNTY SCHOOLS","CARROLL MIDDLE SCHOOL","CARROLL MS FW",225,90,"A","P",0,0,0,258,295,268,
5,"NORTHWEST ALLEN COUNTY SCHOOLS","PERRY HILL ELEMENTARY SCHOOL","PERRY HILL ES",225,92,"A","P",82,77,94,0,0,0,
5,"NORTHWEST ALLEN COUNTY SCHOOLS","OAK VIEW ELEMENTARY SCH","OAK VIEW ELEM",225,94,"A","P",68,61,73,0,0,0,
5,"NORTHWEST ALLEN COUNTY SCHOOLS","CEDAR CANYON ELEMENTARY SCH","CEDAR CANYON",225,95,"A","P",68,78,73,0,0,0,
5,"NORTHWEST ALLEN COUNTY SCHOOLS","EEL RIVER ELEMENTARY SCHOOL","EEL RIVER ELE",225,96,"A","P",81,66,88,0,0,0,
5,"FORT WAYNE COMMUNITY SCHOOLS","BLACKHAWK MIDDLE SCHOOL","BLACKHAWK MS",235,107,"A","P",0,0,0,284,283,285,
5,"FORT WAYNE COMMUNITY SCHOOLS","JEFF H TOWLES INTERMEDIATE SCHOOL","TOWLES INTERM",235,118,"A","P",69,82,63,80,58,42,
5,"FORT WAYNE COMMUNITY SCHOOLS","JEFFERSON MIDDLE SCHOOL","JEFFERSON MSF",235,119,"A","P",0,0,0,250,228,228,
5,"FORT WAYNE COMMUNITY SCHOOLS","KEKIONGA MIDDLE SCHOOL","KEKIONGA MS",235,121,"A","P",0,0,0,162,184,160,
5,"FORT WAYNE COMMUNITY SCHOOLS","LAKESIDE MIDDLE SCHOOL","LAKESIDE MS F",235,125,"A","P",0,0,0,198,167,176,
5,"FORT WAYNE COMMUNITY SCHOOLS","LANE MIDDLE SCHOOL","LANE MS",235,126,"A","P",0,0,0,192,178,192,
5,"FORT WAYNE COMMUNITY SCHOOLS","MEMORIAL PARK MIDDLE SCHOOL","MEMORIAL PARK",235,127,"A","P",0,0,0,210,211,195,
5,"FORT WAYNE COMMUNITY SCHOOLS","MIAMI MIDDLE SCHOOL","MIAMI MS FW",235,128,"A","P",0,0,0,267,258,296,
5,"FORT WAYNE COMMUNITY SCHOOLS","NORTHWOOD MIDDLE SCHOOL","NWOOD MS FW",235,129,"A","P",0,0,0,243,226,237,
5,"FORT WAYNE COMMUNITY SCHOOLS","PORTAGE MIDDLE SCHOOL","PORTAGE MS",235,133,"A","P",0,0,0,169,143,158,
5,"FORT WAYNE COMMUNITY SCHOOLS","WEISSER PARK ELEM SCH","WEISSER PKWHI",235,134,"A","P",111,111,101,0,0,0,
5,"FORT WAYNE COMMUNITY SCHOOLS","FAIRFIELD ELEMENTARY SCHOOL","FAIRFIELD E F",235,136,"A","P",94,82,81,0,0,0,
5,"FORT WAYNE COMMUNITY SCHOOLS","MERLE J ABBETT ELEMENTARY SCH","MJ ABBETT ES",235,137,"A","P",41,48,45,0,0,0,
